Cap Spacing (um),Orifice width (um),Flow rate ratio,Capillary Number Inner,Capillary Number Outer ,Observed regime (0= Dripping & 1 = Jetting),Observed droplet diameter (um)
160.9756098,29.26829268,6.25,8.55E-06,0.003794946,0,239.0243902
160.9756098,29.26829268,6.451612903,8.28E-06,0.003794946,0,243.902439
160.9756098,29.26829268,6.666666667,8.02E-06,0.003794946,0,239.0243902
160.9756098,29.26829268,6.896551724,7.75E-06,0.003794946,0,243.902439
160.9756098,29.26829268,7.142857143,7.48E-06,0.003794946,0,243.902439
160.9756098,29.26829268,7.407407407,7.22E-06,0.003794946,0,239.0243902
160.9756098,29.26829268,7.692307692,6.95E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,8,6.68E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,8.333333333,6.41E-06,0.003794946,0,231.7073171
160.9756098,29.26829268,8.695652174,6.15E-06,0.003794946,0,229.2682927
160.9756098,29.26829268,9.090909091,5.88E-06,0.003794946,0,229.2682927
160.9756098,29.26829268,9.523809524,5.61E-06,0.003794946,0,224.3902439
160.9756098,29.26829268,10,5.34E-06,0.003794946,0,224.3902439
160.9756098,29.26829268,10.52631579,5.08E-06,0.003794946,0,226.8292683
160.9756098,29.26829268,11.11111111,4.81E-06,0.003794946,0,219.5121951
160.9756098,29.26829268,11.76470588,4.54E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,12.5,4.28E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,13.33333333,4.01E-06,0.003794946,0,212.195122
160.9756098,29.26829268,14.28571429,3.74E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,15.38461538,3.47E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,16.66666667,3.21E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,18.18181818,2.94E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,20,2.67E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,22.22222222,2.41E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,25,2.14E-06,0.003794946,0,212.195122
160.9756098,29.26829268,28.57142857,1.87E-06,0.003794946,0,202.4390244
160.9756098,29.26829268,33.33333333,1.60E-06,0.003794946,0,195.1219512
160.9756098,29.26829268,40,1.34E-06,0.003794946,0,204.8780488
160.9756098,29.26829268,40,1.34E-06,0.003794946,0,207.3170732
160.9756098,29.26829268,33.33333333,1.60E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,28.57142857,1.87E-06,0.003794946,0,209.7560976
160.9756098,29.26829268,25,2.14E-06,0.003794946,0,212.195122
160.9756098,29.26829268,22.22222222,2.41E-06,0.003794946,0,214.6341463
160.9756098,29.26829268,20,2.67E-06,0.003794946,0,217.0731707
160.9756098,29.26829268,18.18181818,2.94E-06,0.003794946,0,219.5121951
160.9756098,29.26829268,16.66666667,3.21E-06,0.003794946,0,221.9512195
160.9756098,29.26829268,15.38461538,3.47E-06,0.003794946,0,221.9512195
160.9756098,29.26829268,14.28571429,3.74E-06,0.003794946,0,226.8292683
160.9756098,29.26829268,13.33333333,4.01E-06,0.003794946,0,229.2682927
160.9756098,29.26829268,12.5,4.28E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,11.76470588,4.54E-06,0.003794946,0,234.1463415
160.9756098,29.26829268,11.11111111,4.81E-06,0.003794946,0,236.5853659
160.9756098,29.26829268,10.52631579,5.08E-06,0.003794946,0,236.5853659
160.9756098,29.26829268,10,5.34E-06,0.003794946,0,236.5853659
160.9756098,29.26829268,9.523809524,5.61E-06,0.003794946,0,239.0243902
160.9756098,29.26829268,9.090909091,5.88E-06,0.003794946,0,241.4634146
160.9756098,29.26829268,8.695652174,6.15E-06,0.003794946,0,241.4634146
160.9756098,29.26829268,8.333333333,6.41E-06,0.003794946,0,243.902439
160.9756098,29.26829268,8,6.68E-06,0.003794946,0,246.3414634
160.9756098,29.26829268,7.692307692,6.95E-06,0.003794946,0,243.902439
160.9756098,29.26829268,7.407407407,7.22E-06,0.003794946,0,251.2195122
160.9756098,29.26829268,7.142857143,7.48E-06,0.003794946,0,248.7804878
160.9756098,29.26829268,6.896551724,7.75E-06,0.003794946,0,246.3414634
160.9756098,29.26829268,6.666666667,8.02E-06,0.003794946,0,248.7804878
